Comment,Designator,Footprint,JLCPCB Part #（optional）
100µF 6.3V TAJB107K006RNJ,C1,CAPMP3528X210N,C16133
100nF,C2,CAPC2012X110,
10uF,C3,C15850,
100nF,C4,CAPC2012X110,
SS210,D1,DIOM5226X290N,C14996
H1M,D2,SODFL3718X115,C698680
TESTPOINT_TPS-PAD-036,FLAP_EN,TESTPOINT_PAD-036,
TSM-105-01-F-SH,J1,SAMTEC_TSM-105-01-F-SH,
DC-005-5A-2.5-SMT,J2,GCT_DCJ200-05-A-XX-X_REVA,C319133
G5NB-1A-E DC12,K1,G5NB-1A-EDC12,C225714
SWPA6045S680MT,L1,LVS606028-100M-N,C53663
RS-3535MWAR,LED1,RS-3535MWAR,C110402
AP2302B,Q1,TRANSISTOR-FET_SOT23,C406812
10K,R1,RESC2012X65,
200R,R2,RESC2012X65,
200R,R3,RESC2012X65,
200R,R4,RESC2012X65,
10K,R5,RESC2012X65,
470R,R6,RESC2012X65,
10K,R7,RESC2012X65,
TESTPOINT_TPS-PAD-036,RX_3V3,TESTPOINT_PAD-036,
TESTPOINT_TPS-PAD-036,RX_5V,TESTPOINT_PAD-036,
EVQPUL02K,S1,EVQPUL02K,C79175
EVQPUL02K,S2,EVQPUL02K,C79175
TESTPOINT_TPS-SMD-10SN,TP1,TESTPOINT_SMD-10SN,
TESTPOINT_TPS-PAD-036,TX_3V3,TESTPOINT_PAD-036,
TESTPOINT_TPS-PAD-036,TX_5V,TESTPOINT_PAD-036,
ESP32-WROOM-32D,U1,MODULE_ESP32-WROOM-32D,C529578
XL1509-5.0SOIC8,U2,SOIC8,C61063
AMS1117-3.3,U3,SOT229P700X180-4N,C6186
RS0102YH8SOT-23-8,U5,SOT-23-8,C783414
2516-,X1,PAK100/2500-16,
