Designator,Mid X,Mid Y,Layer,Rotation
C1,16.6,-10.7,TOP,270
C2,15.5,11.5,TOP,90
C3,18,11.5,TOP,90
C4,16.5,7.5,TOP,90
D1,9.5,-3,TOP,90
D2,47.87,-6.4,TOP,270
J2,-4.48,0,TOP,0
L1,11.73,-10.5,TOP,180
LED1,5.2,0,TOP,90
Q1,51.4,-6.7,TOP,0
R1,4.9,5.7,TOP,180
R2,4,-4.3,TOP,270
R3,6.4,-4.3,TOP,270
R4,8.7,1.7,TOP,0
R5,-0.8,-8,TOP,180
R6,50.5,-3.95,TOP,0
R7,51.2,6.8,TOP,180
S1,-3.75,-12,TOP,0
S2,-3.75,12,TOP,180
U1,28.74,-3,TOP,270
U2,14.5,-2.5,TOP,0
U3,11.81,7.22,TOP,270
U5,50.3,-0.2,TOP,180
K1,43,0,TOP,90
X1,57.7,0,TOP,90
