Designator,Mid X,Mid Y,Layer,Rotation
C1,40,0,TOP,270
C2,-25.25,-26.25,TOP,180
C3,24.92,6.05,TOP,0
C4,43.5,0,TOP,270
D1,19.24,0,TOP,270
Q1,-25,0,TOP,180
Q2,23.75,0,TOP,0
R1,34.75,-31.5,TOP,0
R10,6,24.9,TOP,0
R11,-6,24.9,TOP,0
R12,6,19.7,TOP,0
R13,-6,19.7,TOP,0
R14,31.5,-1.75,TOP,270
R15,-25.25,-23.5,TOP,180
R16,-28.75,-26.25,TOP,180
R17,-28.75,-23.5,TOP,0
R18,31.5,1.75,TOP,90
R19,-31.5,1.75,TOP,90
R2,6,-32.7,TOP,0
R20,-31.5,-1.75,TOP,270
R3,-6,-32.7,TOP,0
R4,6,-27.5,TOP,0
R5,-6,-27.5,TOP,0
R6,6,-22.3,TOP,0
R7,-6,-22.3,TOP,0
R8,6,30.1,TOP,0
R9,-6,30.1,TOP,0
S1,-33.75,-26,TOP,0
SJ4,-27,-28.75,TOP,180
U1,0,-32.7,TOP,180
U2,0,-27.5,TOP,180
U3,0,-22.3,TOP,180
U4,0,19.7,TOP,180
U5,0,24.9,TOP,180
U6,0,30.1,TOP,180
U7,36,0,TOP,270
U8,34.75,-35.5,TOP,270
