Comment,Designator,Footprint,JLCPCB Part #（optional）
100nF,C1,CAPC2012X110,
10nF,C2,CAPC2012X110,
10uF,C3,C15850,
10uF,C4,C15850,
H1M,D1,SODFL3718X115,C698680
PINHD-1X6,JP1,1X06,
GA12-N20,M1,GA12-N20,
AP2302B,Q1,TRANSISTOR-FET_SOT23,C406812
AP2302B,Q2,TRANSISTOR-FET_SOT23,C406812
10K,R1,RESC2012X65,
20K,R2,RESC2012X65,
100R,R3,RESC2012X65,
20K,R4,RESC2012X65,
100R,R5,RESC2012X65,
20K,R6,RESC2012X65,
100R,R7,RESC2012X65,
20K,R8,RESC2012X65,
100R,R9,RESC2012X65,
20K,R10,RESC2012X65,
100R,R11,RESC2012X65,
20K,R12,RESC2012X65,
100R,R13,RESC2012X65,
470R,R14,RESC2012X65,
10K,R15,RESC2012X65,
330R,R16,RESC2012X65,
47R,R17,RESC2012X65,
10K,R18,RESC2012X65,
470R,R19,RESC2012X65,
10K,R20,RESC2012X65,
EVQPUL02K,S1,EVQPUL02K,C79175
QRE1113GR,U1,SOIC180P460X187-4N,C232862
QRE1113GR,U2,SOIC180P460X187-4N,C232862
QRE1113GR,U3,SOIC180P460X187-4N,C232862
QRE1113GR,U4,SOIC180P460X187-4N,C232862
QRE1113GR,U5,SOIC180P460X187-4N,C232862
QRE1113GR,U6,SOIC180P460X187-4N,C232862
PIC16F15225-I_ST,U7,SOP65P640X120-14N,C3237661
SN74LVC1G66DBVR,U8,SOT23-5,C5375974
A2541WR-2x8P,X1,MA08-2W,C239339
A2541HWR-2x8P,X2,FE08-2W,C239359
