Comment,Designator,Footprint,JLCPCB Part #（optional）,
100nF,"C2, C4",C_CHIP-0805(2012-METRIC),C49678,
100µF 6.3V TAJB107K006RNJ,C1,C-POL_TANTALUM-1411(3528-METRIC),C16133,
10K,R1,R_CHIP-0805(2012-METRIC),C17414,
2516-,"X1, X2",2516-,C3406,
4.7uF,"C3, C5",C_CHIP-0805(2012-METRIC),C1779,
HLE-108-02-F-DV-BE,X3,HLE-108-02-F-DV-BE,/,https://www.aliexpress.com/item/1005003263426999.html?spm=a2g0o.order_list.0.0.61c61802MId4IS
SN74LVC1G66DBVR,U2,SN74LVC1G66DBVR,C133643,
SS210,D1,DIODEDO-214AC(SMA),C14996,
SWPA6045S680MT,L1,LVS606028-100M-N,C53663,
XL1509-5.0SOIC8,U1,SOIC8,C2902368,
