Comment,Designator,Footprint,JLCPCB Part #（optional）
100µF 6.3V TAJB107K006RNJ,C1,C-POL_TANTALUM-1411(3528-METRIC),C16133
100nF,C2,C_CHIP-0805(2012-METRIC),
4.7uF,C3,C_CHIP-0805(2012-METRIC),
100nF,C4,C_CHIP-0805(2012-METRIC),
4.7uF,C5,C_CHIP-0805(2012-METRIC),
SS210,D1,DIODEDO-214AC(SMA),C14996
SWPA6045S680MT,L1,LVS606028-100M-N,C53663
10K,R1,R_CHIP-0805(2012-METRIC),
XL1509-5.0SOIC8,U1,XL1509-5.0SOIC8,C61063
SN74LVC1G66DBVR,U2,SOT23-5,C5375974
2516-,X1,2516-,
2516-,X2,2516-,
HLE-108-02-F-DV-BE,X3,HLE-108-02-F-DV-BE,
